,company,name,year,Price,kms_driven,fuel_type
0,Hyundai,Hyundai Santro,2007,80000,45000,Petrol
1,Mahindra,Mahindra Jeep,2006,425000,40,Diesel
2,Hyundai,Hyundai Grand i10,2014,325000,28000,Petrol
3,Ford,Ford EcoSport,2014,575000,36000,Diesel
4,Ford,Ford Figo,2012,175000,41000,Diesel
5,Hyundai,Hyundai Eon,2013,190000,25000,Petrol
6,Ford,Ford EcoSport,2016,830000,24530,Diesel
7,Maruti,Maruti Suzuki Alto,2015,250000,60000,Petrol
8,Skoda,Skoda Fabia,2010,182000,60000,Petrol
9,Maruti,Maruti Suzuki Stingray,2015,315000,30000,Petrol
10,Hyundai,Hyundai i20,2014,415000,32000,Petrol
11,Mahindra,Mahindra Scorpio,2015,320000,48660,Diesel
12,Hyundai,Hyundai Santro,2007,80000,45000,Petrol
13,Mahindra,Mahindra Jeep,2006,425000,40,Diesel
14,Audi,Audi A8,2017,7000000,4000,Petrol
15,Audi,Audi Q7,2014,3500000,16934,Diesel
16,Mahindra,Mahindra Scorpio,2016,350000,43000,Diesel
17,Maruti,Maruti Suzuki Alto,2014,160000,35550,Petrol
18,Mahindra,Mahindra Scorpio,2016,350000,43000,Diesel
19,Mahindra,Mahindra Scorpio,2016,310000,39522,Diesel
20,Maruti,Maruti Suzuki Alto,2015,75000,39000,Petrol
21,Hyundai,Hyundai i20,2012,100000,55000,Petrol
22,Hyundai,Hyundai i20,2012,100000,55000,Petrol
23,Hyundai,Hyundai i20,2012,100000,55000,Petrol
24,Maruti,Maruti Suzuki Alto,2017,190000,72000,Petrol
25,Maruti,Maruti Suzuki Vitara,2016,290000,15975,Diesel
26,Maruti,Maruti Suzuki Alto,2008,95000,70000,Petrol
27,Mahindra,Mahindra Bolero,2017,180000,23452,Diesel
28,Maruti,Maruti Suzuki Swift,2014,385000,35522,Diesel
29,Mahindra,Mahindra Scorpio,2015,250000,48508,Diesel
30,Maruti,Maruti Suzuki Swift,2017,180000,15487,Petrol
31,Maruti,Maruti Suzuki WagonR,2013,105000,39000,Petrol
32,Maruti,Maruti Suzuki WagonR,2013,105000,39000,Petrol
33,Toyota,Toyota Innova,2012,650000,82000,Diesel
34,Renault,Renault Lodgy,2018,689999,20000,Diesel
35,Skoda,Skoda Yeti,2012,448000,68000,Diesel
36,Maruti,Maruti Suzuki Baleno,2017,549000,32000,Diesel
37,Renault,Renault Duster,2012,501000,38000,Diesel
38,Renault,Renault Duster,2013,489999,27000,Diesel
39,Honda,Honda City,2011,280000,33000,Petrol
40,Maruti,Maruti Suzuki Alto,2015,250000,60000,Petrol
41,Maruti,Maruti Suzuki Dzire,2013,349999,46000,Diesel
42,Honda,Honda Amaze,2013,284999,46000,Diesel
43,Honda,Honda Amaze,2015,345000,36000,Diesel
44,Honda,Honda City,2015,499999,55000,Petrol
45,Datsun,Datsun Redi GO,2017,235000,16000,Petrol
46,Maruti,Maruti Suzuki SX4,2010,249999,36000,Petrol
47,Mitsubishi,Mitsubishi Pajero,2015,1475000,47000,Diesel
48,Mahindra,Mahindra Bolero,2017,180000,23452,Diesel
49,Maruti,Maruti Suzuki Swift,2014,385000,35522,Diesel
50,Mahindra,Mahindra Scorpio,2015,250000,48508,Diesel
51,Maruti,Maruti Suzuki Swift,2017,180000,15487,Petrol
52,Maruti,Maruti Suzuki WagonR,2013,105000,39000,Petrol
53,Maruti,Maruti Suzuki WagonR,2013,105000,39000,Petrol
54,Mahindra,Mahindra Scorpio,2015,395000,35000,Diesel
55,Maruti,Maruti Suzuki Swift,2017,220000,30874,Petrol
56,Honda,Honda City,2017,170000,15000,Diesel
57,Maruti,Maruti Suzuki WagonR,2013,85000,29685,Petrol
58,Ford,Ford Figo,2012,175000,41000,Diesel
59,Hyundai,Hyundai Eon,2013,190000,25000,Petrol
60,Tata,Tata Indigo,2017,200000,130000,Diesel
61,Ford,Ford EcoSport,2016,830000,24530,Diesel
62,Tata,Tata Indigo,2017,200000,130000,Diesel
63,Mahindra,Mahindra Scorpio,2012,570000,19000,Diesel
64,Volkswagen,Volkswagen Polo,2014,315000,60000,Petrol
65,Skoda,Skoda Fabia,2010,182000,60000,Petrol
66,Maruti,Maruti Suzuki Stingray,2015,315000,30000,Petrol
67,Chevrolet,Chevrolet Spark,2010,110000,41000,Petrol
68,Renault,Renault Duster,2012,501000,35000,Diesel
69,Honda,Honda City,2015,448999,54000,Petrol
70,Mini,Mini Cooper S,2013,1891111,13000,Petrol
71,Datsun,Datsun Redi GO,2017,235000,16000,Petrol
72,Skoda,Skoda Fabia,2011,159500,38200,Diesel
73,Honda,Honda Amaze,2015,344999,22000,Petrol
74,Honda,Honda Amaze,2015,344999,22000,Petrol
75,Renault,Renault Duster,2014,449999,50000,Diesel
76,Mini,Mini Cooper S,2013,1891111,13500,Petrol
77,Mahindra,Mahindra Scorpio,2015,865000,30000,Diesel
78,Mahindra,Mahindra Scorpio,2014,699000,50000,Diesel
79,Mahindra,Mahindra Quanto,2013,375000,20000,Diesel
80,Ford,Ford EcoSport,2017,489999,39000,Petrol
81,Honda,Honda Brio,2012,224999,30000,Petrol
82,Volkswagen,Volkswagen Vento,2019,1200000,3600,Diesel
83,Hyundai,Hyundai i20,2009,195000,32000,Petrol
84,Toyota,Toyota Corolla,2010,351000,38000,Diesel
85,Hyundai,Hyundai Verna,2008,160000,45000,Petrol
86,Toyota,Toyota Corolla,2009,240000,35000,Petrol
87,Honda,Honda City,2005,90000,50000,Petrol
88,Hyundai,Hyundai i20,2014,415000,32000,Petrol
89,Skoda,Skoda Fabia,2011,155000,45863,Diesel
90,BMW,BMW 3 Series,2011,1200000,60500,Petrol
91,Maruti,Maruti Suzuki AStar,2011,189500,12500,Petrol
92,Toyota,Toyota Etios,2013,350000,60000,Diesel
93,Ford,Ford Figo,2012,210000,35000,Diesel
94,Maruti,Maruti Suzuki Swift,2014,390000,35000,Petrol
95,Chevrolet,Chevrolet Beat,2012,135000,45000,Diesel
96,BMW,BMW 7 Series,2009,3000000,35000,Petrol
97,Mahindra,Mahindra XUV500,2013,701000,38000,Diesel
98,Hyundai,Hyundai i10,2014,265000,18000,Petrol
99,Hyundai,Hyundai Verna,2015,525000,35000,Diesel
100,Maruti,Maruti Suzuki Swift,2013,372000,13349,Petrol
101,Maruti,Maruti Suzuki Ertiga,2016,635000,29000,Petrol
102,Ford,Ford EcoSport,2014,550000,44000,Diesel
103,Maruti,Maruti Suzuki Ertiga,2016,575000,29000,Petrol
104,Maruti,Maruti Suzuki Ertiga,2013,485000,42000,Diesel
105,Maruti,Maruti Suzuki Alto,2012,155000,14000,Petrol
106,Hyundai,Hyundai Grand i10,2014,345000,49000,Diesel
107,Honda,Honda Amaze,2014,325000,42000,Petrol
108,Hyundai,Hyundai i20,2012,329500,36200,Diesel
109,Ford,Ford Figo,2014,195000,50000,Diesel
110,Maruti,Maruti Suzuki Eeco,2015,251111,55000,Petrol
111,Maruti,Maruti Suzuki Ertiga,2014,569999,45000,Petrol
112,Maruti,Maruti Suzuki Esteem,2007,69999,51000,Petrol
113,Maruti,Maruti Suzuki Ritz,2014,299999,19000,Petrol
114,Maruti,Maruti Suzuki Dzire,2009,220000,46000,Petrol
115,Maruti,Maruti Suzuki Ritz,2013,399999,33000,Diesel
116,Maruti,Maruti Suzuki Swift,2013,372000,13349,Petrol
117,Maruti,Maruti Suzuki Dzire,2015,450000,104000,Diesel
118,Toyota,Toyota Etios,2014,270000,55000,Petrol
119,Hyundai,Hyundai i20,2011,350000,33333,Diesel
120,Chevrolet,Chevrolet Spark,2012,158400,33600,Petrol
121,Maruti,Maruti Suzuki Alto,2017,350000,5600,Petrol
122,Nissan,Nissan Micra,2011,179000,41000,Petrol
123,Maruti,Maruti Suzuki Swift,2007,125000,70000,Petrol
124,Maruti,Maruti Suzuki Alto,2018,200000,7500,Petrol
125,Honda,Honda Amaze,2013,299000,45000,Diesel
126,Maruti,Maruti Suzuki Alto,2015,220000,38000,Petrol
127,Chevrolet,Chevrolet Beat,2015,150000,30000,Petrol
128,Honda,Honda City,2010,285000,35000,Petrol
129,Ford,Ford EcoSport,2016,830000,24330,Diesel
130,Hyundai,Hyundai i20,2009,210000,65480,Petrol
131,Maruti,Maruti Suzuki Swift,2013,340000,41000,Petrol
132,Tata,Tata Indica,2006,90000,20000,Petrol
133,Hindustan,Hindustan Motors Ambassador,2000,70000,200000,Diesel
134,Toyota,Toyota Corolla,2010,289999,70000,Petrol
135,Toyota,Toyota Corolla,2012,349999,59000,Petrol
136,Toyota,Toyota Innova,2012,849999,99000,Diesel
137,Volkswagen,Volkswagen Jetta,2014,749999,46000,Diesel
138,Volkswagen,Volkswagen Polo,2015,399999,2800,Petrol
139,Volkswagen,Volkswagen Polo,2014,274999,32000,Petrol
140,Mahindra,Mahindra Scorpio,2015,984999,22000,Diesel
141,Renault,Renault Duster,2014,449999,50000,Diesel
142,Honda,Honda Amaze,2015,344999,22000,Petrol
143,Nissan,Nissan Sunny,2012,224999,45000,Petrol
144,Hyundai,Hyundai i20,2018,599999,21000,Petrol
145,Renault,Renault Kwid,2016,244999,11000,Petrol
146,Renault,Renault Duster,2013,399999,41000,Diesel
147,Ford,Ford EcoSport,2017,489999,39000,Petrol
148,Renault,Renault Duster,2014,474999,50000,Diesel
149,Mahindra,Mahindra Scorpio,2011,499999,66000,Diesel
150,Maruti,Maruti Suzuki Alto,2018,310000,3000,Petrol
151,Chevrolet,Chevrolet Spark,2010,85000,45000,Petrol
152,Datsun,Datsun Redi GO,2016,245000,7000,Petrol
153,Maruti,Maruti Suzuki Swift,2010,189500,38500,Diesel
154,Fiat,Fiat Punto,2012,169500,37200,Diesel
155,Maruti,Maruti Suzuki Swift,2010,159500,43200,Diesel
156,Toyota,Toyota Etios,2013,275000,24800,Petrol
157,Hyundai,Hyundai i20,2014,370000,60000,Diesel
158,Hyundai,Hyundai i10,2010,168000,45872,Petrol
159,Chevrolet,Chevrolet Beat,2011,150000,40000,Diesel
160,Chevrolet,Chevrolet Beat,2011,145000,45000,Diesel
161,Chevrolet,Chevrolet Beat,2012,98500,38000,Diesel
162,Mahindra,Mahindra Scorpio,2014,699000,50000,Diesel
163,Tata,Tata Indigo,2011,85000,11400,Diesel
164,Toyota,Toyota Corolla,2015,575000,42000,Petrol
165,Honda,Honda City,2014,549000,39000,Petrol
166,Maruti,Maruti Suzuki Swift,2011,209000,47000,Diesel
167,Hyundai,Hyundai Eon,2013,185000,27000,Petrol
168,Mahindra,Mahindra Scorpio,2015,900000,97200,Diesel
169,Mahindra,Mahindra XUV500,2014,699999,52000,Diesel
170,Honda,Honda Brio,2012,224999,30000,Petrol
171,Ford,Ford Fiesta,2011,274999,55000,Diesel
172,Honda,Honda Amaze,2013,284999,46000,Diesel
173,Honda,Honda City,2015,599999,30000,Diesel
174,Maruti,Maruti Suzuki WagonR,2012,199999,44000,Petrol
175,Honda,Honda City,2014,544999,45000,Diesel
176,Hyundai,Hyundai i20,2009,199000,31000,Petrol
177,Tata,Tata Indigo,2016,320000,175430,Diesel
178,Hyundai,Hyundai Verna,2015,540000,38000,Diesel
179,Mahindra,Mahindra Quanto,2013,340000,37000,Diesel
180,Fiat,Fiat Petra,2008,75000,65000,Petrol
181,Skoda,Skoda Fabia,2011,159500,38200,Diesel
182,Mini,Mini Cooper S,2013,1891111,13000,Petrol
183,Hyundai,Hyundai Santro,2005,49000,7500,Petrol
184,Maruti,Maruti Suzuki Ciaz,2016,700000,3350,Petrol
185,Maruti,Maruti Suzuki Zen,2000,55000,60000,Petrol
186,Honda,Honda City,2015,448999,54000,Petrol
187,Hyundai,Hyundai Creta,2017,895000,32000,Petrol
188,Mahindra,Mahindra Scorpio,2007,355000,75000,Diesel
189,Mahindra,Mahindra Scorpio,2012,565000,62000,Diesel
190,Toyota,Toyota Innova,2006,365000,73000,Diesel
191,Maruti,Maruti Suzuki Alto,2011,145000,41000,Petrol
192,Maruti,Maruti Suzuki WagonR,2011,210000,35000,Petrol
193,Tata,Tata Nano,2013,40000,2200,Petrol
194,Maruti,Maruti Suzuki Alto,2013,125000,39000,Petrol
195,Maruti,Maruti Suzuki WagonR,2009,135000,45000,Petrol
196,Maruti,Maruti Suzuki Swift,2006,135000,45000,Petrol
197,Tata,Tata Sumo,2012,285000,65000,Diesel
198,Maruti,Maruti Suzuki WagonR,2010,145000,54870,Petrol
199,Maruti,Maruti Suzuki Alto,2010,135000,34580,Petrol
200,Volkswagen,Volkswagen Passat,2009,450000,97000,Diesel
201,Renault,Renault Scala,2015,375000,25000,Diesel
202,Mahindra,Mahindra Quanto,2013,375000,20000,Diesel
203,Hyundai,Hyundai Grand i10,2014,365000,20000,Petrol
204,Hyundai,Hyundai i20,2015,500000,18000,Petrol
205,Mahindra,Mahindra Xylo,2012,400000,35000,Diesel
206,Mahindra,Mahindra Jeep,2019,390000,60,Diesel
207,Renault,Renault Duster,2012,501000,35000,Diesel
208,Mahindra,Mahindra Bolero,2013,330000,80200,Diesel
209,Force,Force Motors ForceOne,2015,580000,3200,Diesel
210,Maruti,Maruti Suzuki SX4,2012,265000,46000,Diesel
211,Mahindra,Mahindra Jeep,2019,379000,0,Diesel
212,Maruti,Maruti Suzuki Alto,2015,219000,5000,Petrol
213,Mahindra,Mahindra Jeep,2018,385000,588,Diesel
214,Toyota,Toyota Etios,2011,275000,36000,Diesel
215,Volkswagen,Volkswagen Polo,2015,330000,38000,Diesel
216,Honda,Honda City,2008,110000,45000,Petrol
217,Maruti,Maruti Suzuki WagonR,2006,80000,71200,Petrol
218,Honda,Honda City,2016,519000,52000,Diesel
219,Mahindra,Mahindra Thar,2016,730000,29000,Diesel
220,Mitsubishi,Mitsubishi Pajero,2015,1475000,47000,Diesel
221,Audi,Audi A4,2009,1699000,47000,Petrol
222,Mercedes,Mercedes Benz GLA,2015,2000000,20000,Diesel
223,Land,Land Rover Freelander,2015,2100000,30000,Diesel
224,Renault,Renault Kwid,2017,340000,5000,Petrol
225,Tata,Tata Aria,2014,390000,35000,Diesel
226,Mercedes,Mercedes Benz B-Class,2014,1400000,31000,Petrol
227,Datsun,Datsun GO,2016,245000,7000,Petrol
228,Tata,Tata Indigo,2016,320000,175430,Diesel
229,Tata,Tata Indigo,2016,320000,175400,Diesel
230,Honda,Honda Jazz,2016,450000,41000,Petrol
231,Honda,Honda Amaze,2014,311000,33000,Petrol
232,Honda,Honda Amaze,2013,284999,46000,Diesel
233,Honda,Honda City,2012,399999,45000,Petrol
234,Honda,Honda City,2015,599999,39000,Diesel
235,Honda,Honda Amaze,2015,344999,22000,Petrol
236,Audi,Audi A4,2009,1699000,47000,Petrol
237,Force,Force Motors ForceOne,2015,580000,3200,Diesel
238,Mahindra,Mahindra Scorpio,2015,855000,30000,Diesel
239,Hyundai,Hyundai i20,2015,535000,37000,Diesel
240,Mini,Mini Cooper S,2013,1891111,13000,Petrol
241,Maruti,Maruti Suzuki Ciaz,2017,699000,14000,Petrol
242,Chevrolet,Chevrolet Tavera,2013,375000,55000,Diesel
243,Honda,Honda Amaze,2013,284999,46000,Diesel
244,Hyundai,Hyundai Eon,2012,178000,30000,Petrol
245,Tata,Tata Sumo,2013,300000,50000,Diesel
246,Maruti,Maruti Suzuki WagonR,2003,90000,45000,Petrol
247,Maruti,Maruti Suzuki Esteem,2006,95000,45000,Petrol
248,Maruti,Maruti Suzuki Eeco,2015,255000,9300,Petrol
249,Chevrolet,Chevrolet Enjoy,2013,245000,55000,Diesel
250,Hyundai,Hyundai i20,2012,329500,36200,Diesel
251,Ford,Ford Figo,2014,195000,50000,Diesel
252,Maruti,Maruti Suzuki Eeco,2015,251111,55000,Petrol
253,Maruti,Maruti Suzuki Ertiga,2014,569999,45000,Petrol
254,Maruti,Maruti Suzuki Esteem,2007,69999,51000,Petrol
255,Maruti,Maruti Suzuki Ritz,2014,299999,19000,Petrol
256,Maruti,Maruti Suzuki Dzire,2009,220000,46000,Petrol
257,Maruti,Maruti Suzuki Ritz,2013,399999,33000,Diesel
258,Maruti,Maruti Suzuki SX4,2010,249999,36000,Petrol
259,Maruti,Maruti Suzuki WagonR,2015,289999,22000,Petrol
260,Mini,Mini Cooper S,2013,1891111,13500,Petrol
261,Nissan,Nissan Terrano,2015,499999,60000,Diesel
262,Renault,Renault Duster,2013,489999,27000,Diesel
263,Renault,Renault Duster,2014,489999,59000,Diesel
264,Renault,Renault Duster,2015,549999,19000,Diesel
265,Maruti,Maruti Suzuki Dzire,2013,380000,30000,Petrol
266,Renault,Renault Kwid,2018,325000,15000,Petrol
267,Renault,Renault Kwid,2018,349999,10000,Petrol
268,Renault,Renault Lodgy,2018,689999,20000,Diesel
269,Renault,Renault Scala,2014,349999,49000,Diesel
270,Hyundai,Hyundai Grand i10,2014,410000,41000,Petrol
271,Maruti,Maruti Suzuki Swift,2011,225000,45000,Petrol
272,Chevrolet,Chevrolet Beat,2010,120000,43000,Petrol
273,Tata,Tata Indigo,2016,320000,175430,Diesel
274,Hyundai,Hyundai Santro,2000,59000,56450,Petrol
275,Hyundai,Hyundai Verna,2015,540000,38000,Diesel
276,Chevrolet,Chevrolet Beat,2010,80000,56000,Petrol
277,Mahindra,Mahindra Quanto,2013,340000,37000,Diesel
278,Fiat,Fiat Petra,2008,75000,65000,Petrol
279,Chevrolet,Chevrolet Beat,2015,220000,32700,Petrol
280,Skoda,Skoda Fabia,2011,159500,38200,Diesel
281,Ford,Ford EcoSport,2016,599000,30000,Diesel
282,Hyundai,Hyundai Accent,2006,80000,56000,Petrol
283,Mahindra,Mahindra TUV300,2016,675000,9000,Diesel
284,Mini,Mini Cooper S,2013,1891111,13000,Petrol
285,Mini,Mini Cooper S,2013,1891111,13000,Petrol
286,Tata,Tata Indica,2008,150000,11000,Petrol
287,Mini,Mini Cooper S,2013,1891111,13000,Petrol
288,Tata,Tata Indigo,2009,72500,46000,Diesel
289,Maruti,Maruti Suzuki Swift,2019,610000,73,Petrol
290,Mahindra,Mahindra Scorpio,2004,230000,160000,Diesel
291,Honda,Honda Accord,2009,175000,58559,Petrol
292,Mahindra,Mahindra Scorpio,2015,855000,30000,Diesel
293,Chevrolet,Chevrolet Tavera,2013,375000,55000,Diesel
294,Ford,Ford EcoSport,2014,520000,57000,Diesel
295,Maruti,Maruti Suzuki Ertiga,2015,524999,50000,Diesel
296,Honda,Honda Amaze,2014,299999,37000,Petrol
297,Maruti,Maruti Suzuki Dzire,2012,299999,40000,Petrol
298,Honda,Honda City,2011,284999,55000,Petrol
299,Mahindra,Mahindra Scorpio,2007,220000,170000,Diesel
300,Maruti,Maruti Suzuki Dzire,2014,424999,55000,Diesel
301,Honda,Honda City,2015,644999,39000,Petrol
302,Honda,Honda Mobilio,2014,399999,44000,Petrol
303,Toyota,Toyota Corolla,2009,199999,65000,Petrol
304,Honda,Honda City,2014,584999,39000,Petrol
305,Skoda,Skoda Laura,2012,349999,44000,Diesel
306,Renault,Renault Duster,2015,449999,49000,Diesel
307,Maruti,Maruti Suzuki Ertiga,2018,799999,9000,Diesel
308,Maruti,Maruti Suzuki Dzire,2015,444999,45000,Diesel
309,Mahindra,Mahindra XUV500,2014,649999,47000,Diesel
310,Hyundai,Hyundai Verna,2012,444999,40000,Diesel
311,Maruti,Maruti Suzuki Vitara,2016,689999,29000,Diesel
312,Maruti,Maruti Suzuki WagonR,2016,344999,15000,Petrol
313,Mahindra,Mahindra Scorpio,2015,944999,45000,Diesel
314,Honda,Honda Amaze,2014,274999,35000,Petrol
315,Mahindra,Mahindra XUV500,2013,689999,80000,Diesel
316,Mahindra,Mahindra Scorpio,2013,574999,68000,Diesel
317,Skoda,Skoda Laura,2013,374999,50000,Diesel
318,Volkswagen,Volkswagen Polo,2010,199999,60000,Diesel
319,Hyundai,Hyundai i20,2016,549999,9000,Petrol
320,Tata,Tata Manza,2012,130000,72000,Diesel
321,Chevrolet,Chevrolet Sail,2013,210000,60000,Petrol
322,Renault,Renault Duster,2012,501000,38000,Diesel
323,Hyundai,Hyundai Verna,2013,401000,45000,Diesel
324,Audi,Audi A4,2012,1350000,40000,Diesel
325,Hyundai,Hyundai Elantra,2013,600000,20000,Petrol
326,Mahindra,Mahindra Scorpio,2013,610000,35000,Diesel
327,Mahindra,Mahindra KUV100,2016,400000,20000,Diesel
328,Renault,Renault Scala,2015,375000,25000,Diesel
329,Mahindra,Mahindra Quanto,2013,375000,20000,Diesel
330,Hyundai,Hyundai Grand i10,2014,365000,20000,Petrol
331,Hyundai,Hyundai i20,2015,500000,18000,Petrol
332,Mahindra,Mahindra Xylo,2012,400000,35000,Diesel
333,Hyundai,Hyundai Grand i10,2017,524999,6821,Petrol
334,Hyundai,Hyundai i20,2014,449999,23000,Petrol
335,Hyundai,Hyundai Eon,2014,174999,14000,Petrol
336,Hyundai,Hyundai i10,2012,244999,38000,Petrol
337,Hyundai,Hyundai i20,2015,574999,35000,Diesel
338,Datsun,Datsun Redi GO,2017,244999,22000,Petrol
339,Toyota,Toyota Etios,2011,239999,41000,Petrol
340,Hyundai,Hyundai Accent,2010,99999,45000,Petrol
341,Hyundai,Hyundai Verna,2014,489999,44000,Diesel
342,Maruti,Maruti Suzuki Swift,2013,324999,45000,Diesel
343,Toyota,Toyota Fortuner,2011,1234999,52000,Diesel
344,Hyundai,Hyundai i10,2012,230000,34000,Petrol
345,Mahindra,Mahindra Bolero,2018,699000,1800,Diesel
346,Mahindra,Mahindra XUV500,2015,1000000,15000,Diesel
347,Honda,Honda City,2010,240000,400000,Petrol
348,Chevrolet,Chevrolet Spark,2009,110000,44000,Petrol
349,Mahindra,Mahindra Jeep,2019,390000,60,Diesel
350,Renault,Renault Duster,2012,501000,35000,Diesel
351,Mahindra,Mahindra XUV500,2016,1130000,72000,Diesel
352,Tata,Tata Indigo,2014,250000,40000,Diesel
353,Mahindra,Mahindra Bolero,2013,330000,80200,Diesel
354,Force,Force Motors ForceOne,2015,580000,3200,Diesel
355,Skoda,Skoda Rapid,2013,340000,48000,Diesel
356,Tata,Tata Vista,2011,120000,90000,Diesel
357,Maruti,Maruti Suzuki Alto,2015,265000,12000,Petrol
358,Maruti,Maruti Suzuki SX4,2012,265000,46000,Diesel
359,Maruti,Maruti Suzuki Zen,2003,85000,69900,Petrol
360,Mahindra,Mahindra Jeep,2019,379000,0,Diesel
361,Hyundai,Hyundai i10,2011,175000,45000,Petrol
362,Maruti,Maruti Suzuki Alto,2015,219000,5000,Petrol
363,Maruti,Maruti Suzuki Swift,2016,350000,166000,Diesel
364,Honda,Honda City,2008,149000,42000,Petrol
365,Mahindra,Mahindra Jeep,2018,385000,588,Diesel
366,Mahindra,Mahindra Jeep,2006,425000,122,Diesel
367,Chevrolet,Chevrolet Beat,2017,150000,62000,Diesel
368,Honda,Honda City,2010,225000,70000,Petrol
369,Hyundai,Hyundai Verna,2014,375000,36000,Petrol
370,Toyota,Toyota Innova,2012,770000,0,Diesel
371,Toyota,Toyota Etios,2011,275000,36000,Diesel
372,Volkswagen,Volkswagen Polo,2015,330000,38000,Diesel
373,Maruti,Maruti Suzuki Swift,2014,335000,55000,Diesel
374,Hyundai,Hyundai i20,2015,450000,20000,Diesel
375,Maruti,Maruti Suzuki Swift,2012,225000,40000,Petrol
376,Maruti,Maruti Suzuki Versa,2004,80000,50000,Petrol
377,Tata,Tata Indigo,2016,130000,104000,Diesel
378,Volkswagen,Volkswagen Vento,2011,245000,65000,Diesel
379,Mercedes,Mercedes Benz C-Class,2002,399000,41000,Petrol
380,Maruti,Maruti Suzuki Ertiga,2013,450000,90000,Diesel
381,Honda,Honda City,2000,65000,80000,Petrol
382,Hyundai,Hyundai Santro,2006,75000,46000,Petrol
383,Maruti,Maruti Suzuki Omni,2001,70000,70000,Petrol
384,Hyundai,Hyundai Sonata,2017,190000,36469,Diesel
385,Hyundai,Hyundai i20,2018,600000,7800,Petrol
386,Volkswagen,Volkswagen Vento,2011,245000,65000,Diesel
387,Maruti,Maruti Suzuki Alto,2017,240000,60000,Petrol
388,Maruti,Maruti Suzuki Alto,2011,155000,32000,Petrol
389,Honda,Honda Jazz,2009,169999,24695,Petrol
390,Hyundai,Hyundai Grand i10,2017,450000,15141,Petrol
391,Maruti,Maruti Suzuki Zen,2001,40000,40000,Petrol
392,Mahindra,Mahindra Scorpio,2012,165000,65000,Diesel
393,Maruti,Maruti Suzuki Alto,2014,270000,22000,Petrol
394,Hyundai,Hyundai Grand i10,2016,280000,59910,Diesel
395,Mahindra,Mahindra XUV500,2012,560000,100000,Diesel
396,Hyundai,Hyundai Creta,2016,950000,25000,Petrol
397,Hyundai,Hyundai i20,2013,310000,35000,Petrol
398,Renault,Renault Duster,2015,715000,65000,Diesel
399,Hyundai,Hyundai Grand i10,2014,340000,35000,Petrol
400,Honda,Honda Brio,2012,235000,33000,Petrol
401,Mahindra,Mahindra TUV300,2017,610000,68000,Diesel
402,Chevrolet,Chevrolet Spark,2010,95000,23000,Petrol
403,Mahindra,Mahindra TUV300,2018,1000000,4500,Diesel
404,Maruti,Maruti Suzuki Swift,2015,220000,129000,Diesel
405,Nissan,Nissan X,2019,1200000,300,Diesel
