,company,name,year,Price,kms_driven,fuel_type
406,Maruti,Maruti Suzuki Alto,2015,230000,5000,Petrol
407,Ford,Ford Ikon,2001,45000,65000,Petrol
408,Toyota,Toyota Fortuner,2010,940000,131000,Diesel
409,Tata,Tata Manza,2010,155555,111111,Petrol
410,Mercedes,Mercedes Benz A-Class,2013,1500000,14000,Petrol
411,Chevrolet,Chevrolet Beat,2016,210000,22000,Diesel
412,Ford,Ford EcoSport,2013,495000,38000,Diesel
413,Tata,Tata Indigo,2016,125000,70000,Diesel
414,Hyundai,Hyundai i20,2010,195000,36000,Petrol
415,Volkswagen,Volkswagen Vento,2015,550000,34000,Diesel
416,Renault,Renault Kwid,2015,270000,43000,Petrol
417,Ford,Ford EcoSport,2014,500000,40000,Diesel
418,Honda,Honda Amaze,2016,240000,160000,Diesel
419,Hyundai,Hyundai Verna,2017,800000,12000,Petrol
420,BMW,BMW 5 Series,2011,1999000,49000,Diesel
421,Skoda,Skoda Superb,2011,530000,68000,Petrol
422,Audi,Audi Q3,2013,1499000,37000,Diesel
423,Mahindra,Mahindra Bolero,2012,220000,59466,Diesel
424,Mahindra,Mahindra Scorpio,2015,900000,97200,Diesel
425,Ford,Ford Figo,2012,250000,99000,Diesel
426,Maruti,Maruti Suzuki WagonR,2018,395000,25500,Petrol
427,Mahindra,Mahindra Logan,2009,130000,66000,Petrol
428,Tata,Tata Nano,2010,32000,44005,Petrol
429,Mahindra,Mahindra TUV300,2016,540000,35000,Diesel
430,Mahindra,Mahindra TUV300,2016,540000,35000,Diesel
431,Hyundai,Hyundai i20,2015,405000,28000,Petrol
432,Hyundai,Hyundai i20,2015,400000,30000,Petrol
433,Honda,Honda City,2017,760000,4000,Petrol
434,Maruti,Maruti Suzuki Baleno,2016,500000,28000,Petrol
435,Ford,Ford Figo,2011,175000,75000,Petrol
436,Mahindra,Mahindra Scorpio,2015,900000,97200,Diesel
437,Honda,Honda City,2017,750000,3000,Petrol
438,Hyundai,Hyundai i20,2015,419000,20000,Petrol
439,Maruti,Maruti Suzuki Versa,2004,90000,50000,Petrol
440,Hyundai,Hyundai Eon,2018,140000,2110,Petrol
441,Mitsubishi,Mitsubishi Pajero,2015,1540000,43222,Petrol
442,Hyundai,Hyundai i10,2008,275000,100200,Petrol
443,Toyota,Toyota Corolla,2003,150000,100000,Petrol
444,Maruti,Maruti Suzuki Swift,2011,230000,65,Petrol
445,Tata,Tata Indigo,2015,123000,100000,Diesel
446,Mahindra,Mahindra Scorpio,2015,900000,97200,Diesel
447,Mahindra,Mahindra Scorpio,2015,900000,97200,Diesel
448,Hyundai,Hyundai Xcent,2016,300000,140000,Diesel
449,Honda,Honda City,2015,499999,55000,Petrol
450,Hyundai,Hyundai Accent,2009,165000,48000,Petrol
451,Maruti,Maruti Suzuki Baleno,2016,498000,22000,Petrol
452,Tata,Tata Zest,2018,480000,103553,Diesel
453,Maruti,Maruti Suzuki Dzire,2017,488000,80000,Diesel
454,Tata,Tata Sumo,2014,250000,99000,Diesel
455,Toyota,Toyota Corolla,2010,220000,58000,Petrol
456,Maruti,Maruti Suzuki Eeco,2013,290000,70000,CNG
457,Toyota,Toyota Fortuner,2015,1525000,120000,Diesel
458,Mahindra,Mahindra XUV500,2013,548900,49800,Diesel
459,Tata,Tata Tigor,2019,650000,100,Diesel
460,Maruti,Maruti Suzuki Ertiga,2015,550000,75000,Petrol
461,Maruti,Maruti Suzuki Versa,2004,90000,50000,Petrol
462,Honda,Honda Mobilio,2014,399000,44000,Diesel
463,Maruti,Maruti Suzuki Ertiga,2016,730000,55000,Diesel
464,Maruti,Maruti Suzuki Vitara,2017,725000,36000,Diesel
465,Hyundai,Hyundai Verna,2016,195000,56000,Diesel
466,Maruti,Maruti Suzuki Swift,2007,130000,62000,Petrol
467,Toyota,Toyota Fortuner,2015,1525000,120000,Diesel
468,Maruti,Maruti Suzuki Omni,2014,190000,6020,Petrol
469,Honda,Honda Amaze,2013,250000,55700,Diesel
470,Tata,Tata Indica,2005,80000,42000,Petrol
471,Hyundai,Hyundai Santro,2003,120000,50000,Petrol
472,Maruti,Maruti Suzuki Zen,2010,149000,35000,Petrol
473,Maruti,Maruti Suzuki WagonR,2014,250000,18500,Petrol
474,Maruti,Maruti Suzuki WagonR,2007,120000,7000,Petrol
475,Honda,Honda Brio,2017,450000,11000,Petrol
476,Maruti,Maruti Suzuki Zen,2003,99999,53000,Petrol
477,Maruti,Maruti Suzuki Zen,2008,135000,23000,Petrol
478,Maruti,Maruti Suzuki WagonR,2016,225000,35500,Diesel
479,Maruti,Maruti Suzuki Alto,2010,99000,22134,Petrol
480,Renault,Renault Kwid,2019,370000,1000,Petrol
481,Tata,Tata Nano,2010,52000,9000,Petrol
482,Jaguar,Jaguar XE,2016,2800000,8500,Petrol
483,Hyundai,Hyundai Eon,2014,190000,35000,Petrol
484,Honda,Honda City,2014,499000,22000,Petrol
485,Hindustan,Hindustan Motors Ambassador,2002,90000,25000,Diesel
486,Maruti,Maruti Suzuki Ritz,2010,149000,40000,Petrol
487,Hyundai,Hyundai Grand i10,2017,400000,20000,Petrol
488,Hyundai,Hyundai Eon,2016,120000,87000,Petrol
489,Maruti,Maruti Suzuki Swift,2015,250000,55000,Petrol
490,Maruti,Maruti Suzuki WagonR,2017,375000,23000,Petrol
491,Honda,Honda Amaze,2014,381000,6000,Petrol
492,Maruti,Maruti Suzuki Estilo,2013,180000,65000,Petrol
493,Maruti,Maruti Suzuki Vitara,2016,580000,25000,Diesel
494,Maruti,Maruti Suzuki Eeco,2015,278000,39000,Petrol
495,Hyundai,Hyundai Creta,2016,1000000,8000,Petrol
496,Mahindra,Mahindra Scorpio,2013,690000,75000,Diesel
497,Maruti,Maruti Suzuki Ertiga,2012,480000,51000,Diesel
498,Mitsubishi,Mitsubishi Pajero,2015,1725000,37000,Diesel
499,Maruti,Maruti Suzuki Maruti,2001,40000,75000,Petrol
500,Maruti,Maruti Suzuki Alto,2015,90000,55800,Petrol
501,Hyundai,Hyundai Grand i10,2015,340000,53000,Petrol
502,Hyundai,Hyundai Eon,2018,260000,25000,Petrol
503,Ford,Ford Fiesta,2009,250000,56400,Petrol
504,Maruti,Maruti Suzuki Ritz,2010,180000,72160,Diesel
505,Hyundai,Hyundai Verna,2012,350000,10000,Diesel
506,Maruti,Maruti Suzuki WagonR,2006,90001,48000,Petrol
507,Maruti,Maruti Suzuki Estilo,2007,115000,36000,Petrol
508,Audi,Audi A6,2012,2099000,11500,Diesel
509,Maruti,Maruti Suzuki WagonR,2003,130000,133000,Petrol
510,Maruti,Maruti Suzuki WagonR,2009,159000,27000,Petrol
511,Maruti,Maruti Suzuki WagonR,2009,160000,35000,Petrol
512,Maruti,Maruti Suzuki Alto,2010,110000,55000,Petrol
513,Maruti,Maruti Suzuki Baleno,2016,425000,40000,Petrol
514,Hyundai,Hyundai Verna,2019,900000,2000,Petrol
515,Maruti,Maruti Suzuki Swift,2009,150000,45000,Petrol
516,Hyundai,Hyundai Getz,2009,110000,20000,Petrol
517,Hyundai,Hyundai Santro,2000,51999,88000,Petrol
518,Hyundai,Hyundai Getz,2009,115000,20000,Petrol
519,Chevrolet,Chevrolet Beat,2012,215000,65422,Diesel
520,Ford,Ford EcoSport,2017,580000,10000,Petrol
521,Maruti,Maruti Suzuki Dzire,2013,380000,35000,Petrol
522,Hyundai,Hyundai Verna,2013,350000,117000,Diesel
523,Tata,Tata Indica,2005,35000,150000,Diesel
524,BMW,BMW X1,2011,1250000,72000,Diesel
525,Hyundai,Hyundai i20,2010,300000,10750,Petrol
526,Honda,Honda City,2009,269000,55000,Petrol
527,Tata,Tata Nano,2013,60000,6800,Petrol
528,Chevrolet,Chevrolet Cruze,2014,400000,41000,Diesel
529,Hyundai,Hyundai Verna,2015,430000,73000,Diesel
530,Maruti,Maruti Suzuki Swift,2011,140000,65000,Diesel
531,Mahindra,Mahindra XUV500,2014,850000,45000,Diesel
532,Mahindra,Mahindra XUV500,2018,1299000,40000,Diesel
533,Maruti,Maruti Suzuki Alto,2014,199000,37000,Petrol
534,Hyundai,Hyundai Accent,2006,90000,55000,Petrol
535,Force,Force Motors One,2013,550000,140000,Diesel
536,Maruti,Maruti Suzuki Alto,2019,265000,9800,Petrol
537,Chevrolet,Chevrolet Spark,2011,100000,27000,Petrol
538,Hyundai,Hyundai i10,2009,215000,27000,Petrol
539,Toyota,Toyota Etios,2012,380000,20000,Diesel
540,Renault,Renault Duster,2013,401919,57923,Diesel
541,Chevrolet,Chevrolet Enjoy,2014,490000,30201,Diesel
542,Maruti,Maruti Suzuki Alto,2017,280000,6200,Petrol
543,BMW,BMW 5 Series,2009,1050000,37518,Petrol
544,Toyota,Toyota Etios,2014,160000,24652,Petrol
545,Mahindra,Mahindra Jeep,2004,424000,383,Diesel
546,Chevrolet,Chevrolet Beat,2016,225000,95000,Diesel
547,Chevrolet,Chevrolet Cruze,2011,350000,35000,Diesel
548,Jeep,Jeep Wrangler,2015,950000,3528,Diesel
549,Maruti,Maruti Suzuki Ertiga,2013,485000,52500,Diesel
550,Hyundai,Hyundai Verna,2010,205000,47900,Diesel
551,Maruti,Maruti Suzuki Omni,2012,160000,14000,Petrol
552,Maruti,Maruti Suzuki Celerio,2018,310000,37000,Petrol
553,Tata,Tata Zest,2017,180000,90000,Diesel
554,Mahindra,Mahindra XUV500,2013,549900,52800,Diesel
555,Tata,Tata Indigo,2016,150000,104000,Diesel
556,Hyundai,Hyundai i10,2011,175000,30000,Petrol
557,Tata,Tata Indigo,2014,95000,195000,Diesel
558,Tata,Tata Indigo,2016,230000,104000,Diesel
559,Tata,Tata Indigo,2016,230000,104000,Diesel
560,Tata,Tata Indigo,2004,180000,70000,Diesel
561,Hyundai,Hyundai Xcent,2015,400000,43000,Diesel
562,Hyundai,Hyundai Eon,2013,185000,23000,Petrol
563,Renault,Renault Duster,2015,385000,51000,Diesel
564,Maruti,Maruti Suzuki Alto,2009,90000,62000,Petrol
565,Tata,Tata Nano,2010,32000,48008,Petrol
566,Renault,Renault Duster,2013,435000,39000,Diesel
567,Maruti,Maruti Suzuki WagonR,2010,225000,40000,Petrol
568,Maruti,Maruti Suzuki Swift,2006,189700,48247,Petrol
569,Maruti,Maruti Suzuki Ertiga,2012,389700,39000,Diesel
570,Maruti,Maruti Suzuki Swift,2014,365000,23000,Petrol
571,Maruti,Maruti Suzuki Alto,2017,360000,9400,Petrol
572,Hyundai,Hyundai i20,2010,210000,50000,Petrol
573,Hyundai,Hyundai i10,2009,170000,75000,Petrol
574,Tata,Tata Zest,2017,380000,70000,Diesel
575,Mahindra,Mahindra Xylo,2009,295000,64000,Diesel
576,Toyota,Toyota Corolla,2010,185000,55000,Petrol
577,Tata,Tata Manza,2014,160000,200000,Diesel
578,Renault,Renault Kwid,2018,290000,2137,Petrol
579,Tata,Tata Venture,2013,100000,30000,Diesel
580,Maruti,Maruti Suzuki Swift,2014,315000,44000,Petrol
581,Skoda,Skoda Octavia,2006,114990,65000,Diesel
582,Maruti,Maruti Suzuki Omni,2012,120000,160000,CNG
583,Chevrolet,Chevrolet Beat,2011,125000,56000,Diesel
584,Tata,Tata Sumo,2012,210000,75000,Diesel
585,Hyundai,Hyundai Verna,2018,855000,42000,Diesel
586,Tata,Tata Sumo,2012,210000,75000,Diesel
587,Mahindra,Mahindra Scorpio,2007,260000,56000,Diesel
588,Maruti,Maruti Suzuki Zen,2002,95000,10544,Petrol
589,Maruti,Maruti Suzuki Swift,2011,255000,64000,Petrol
590,Mahindra,Mahindra Scorpio,2008,300000,70000,Diesel
591,Hyundai,Hyundai Grand i10,2014,340000,25000,Petrol
592,Hyundai,Hyundai i20,2017,550000,15000,Petrol
593,Ford,Ford Ikon,2003,60000,50000,Petrol
594,Toyota,Toyota Innova,2011,750000,147000,Diesel
595,Nissan,Nissan Sunny,2011,230000,52000,Petrol
596,Chevrolet,Chevrolet Beat,2012,130000,90001,Diesel
597,Maruti,Maruti Suzuki Alto,2017,270000,21000,Petrol
598,Maruti,Maruti Suzuki Swift,2012,280000,48006,Diesel
599,Maruti,Maruti Suzuki Swift,2012,280000,48006,Diesel
600,Maruti,Maruti Suzuki Swift,2012,280000,48006,Diesel
601,Toyota,Toyota Innova,2012,600000,80000,Diesel
602,Maruti,Maruti Suzuki Swift,2010,190000,74000,Diesel
603,Hyundai,Hyundai i20,2015,500000,22000,Petrol
604,Mahindra,Mahindra XUV500,2016,1065000,41000,Diesel
605,Volkswagen,Volkswagen Polo,2015,350000,25000,Diesel
606,Toyota,Toyota Etios,2012,350000,85000,Diesel
607,Mahindra,Mahindra TUV300,2016,540000,29500,Diesel
608,Hyundai,Hyundai i20,2015,470000,30000,Petrol
609,Hyundai,Hyundai Santro,2014,179000,57000,Petrol
610,Maruti,Maruti Suzuki Zen,2003,48000,60000,Petrol
611,Maruti,Maruti Suzuki Ciaz,2016,650000,50000,Petrol
612,Hyundai,Hyundai Eon,2013,190000,39700,Petrol
613,Hyundai,Hyundai Elantra,2012,500000,65000,Petrol
614,Maruti,Maruti Suzuki Swift,2010,270000,67000,Diesel
615,Maruti,Maruti Suzuki Zen,2008,125000,46000,Petrol
616,Hyundai,Hyundai Eon,2012,188000,38000,Petrol
617,Hyundai,Hyundai Grand i10,2016,380000,27000,Petrol
618,Hyundai,Hyundai Verna,2011,365000,43000,Diesel
619,Ford,Ford EcoSport,2014,465000,47000,Petrol
620,Hyundai,Hyundai i20,2011,240000,42000,Petrol
621,Chevrolet,Chevrolet Beat,2016,179999,19336,Diesel
622,Tata,Tata Indica,2015,140000,60105,Diesel
623,Jaguar,Jaguar XF,2013,2390000,29000,Diesel
624,Audi,Audi Q5,2014,2390000,34000,Diesel
625,BMW,BMW 3 Series,2011,1475000,35000,Diesel
626,Maruti,Maruti Suzuki Swift,2015,475000,22000,Petrol
627,BMW,BMW X1,2012,1025000,41000,Diesel
628,Maruti,Maruti Suzuki SX4,2016,615000,21000,Diesel
629,Maruti,Maruti Suzuki Ertiga,2013,475000,48000,Diesel
630,Maruti,Maruti Suzuki Alto,2016,270000,38000,Petrol
631,Honda,Honda City,2014,475000,34000,Diesel
632,Volkswagen,Volkswagen Vento,2011,240000,45933,Petrol
633,Honda,Honda City,2005,120000,68000,Petrol
634,Audi,Audi A4,2016,1900000,44000,Diesel
635,Mahindra,Mahindra KUV100,2017,360000,35000,Diesel
636,Tata,Tata Zest,2018,450000,102563,Diesel
637,Mahindra,Mahindra XUV500,2015,900000,28600,Diesel
638,Maruti,Maruti Suzuki Swift,2017,650000,41800,Diesel
639,Tata,Tata Sumo,2014,275000,116000,Diesel
640,Maruti,Maruti Suzuki Swift,2009,210000,59000,Petrol
641,Mahindra,Mahindra Scorpio,2004,175000,58000,Diesel
642,Maruti,Maruti Suzuki Omni,2009,85000,45000,Petrol
643,Mitsubishi,Mitsubishi Pajero,2015,1490000,42590,Diesel
644,Renault,Renault Duster,2014,800000,7400,Diesel
645,Volkswagen,Volkswagen Jetta,2009,450000,54500,Diesel
646,Maruti,Maruti Suzuki Ertiga,2012,1000000,200000,Diesel
647,Audi,Audi A4,2013,1910000,27000,Diesel
648,Volvo,Volvo S80,2015,1850000,42000,Diesel
649,Toyota,Toyota Corolla,2014,790000,29000,Petrol
650,Mitsubishi,Mitsubishi Pajero,2015,1725000,37000,Diesel
651,Chevrolet,Chevrolet Beat,2012,135000,36000,Petrol
652,BMW,BMW X1,2011,1100000,34000,Diesel
653,Datsun,Datsun Redi GO,2018,299999,7000,Petrol
654,Mercedes,Mercedes Benz C-Class,2009,1225000,76000,Diesel
655,Mahindra,Mahindra Scorpio,2004,175000,60000,Diesel
656,Volkswagen,Volkswagen Vento,2011,200000,95000,Diesel
657,Tata,Tata Indigo,2017,270000,50000,Diesel
658,Ford,Ford Figo,2019,525000,0,Petrol
659,Honda,Honda City,2006,180000,50000,Petrol
660,Maruti,Maruti Suzuki WagonR,2008,140000,68000,Petrol
661,Ford,Ford EcoSport,2014,400000,16000,Petrol
662,Maruti,Maruti Suzuki Swift,2016,499000,51000,Diesel
663,Maruti,Maruti Suzuki Omni,2009,85000,56000,Petrol
664,Maruti,Maruti Suzuki Zen,2004,70000,100000,Petrol
665,Renault,Renault Duster,2015,550000,36000,Petrol
666,Maruti,Maruti Suzuki Swift,2014,370000,11523,Petrol
667,Maruti,Maruti Suzuki Baleno,2018,690000,1000,Petrol
668,Honda,Honda City,2009,250000,60000,Petrol
669,Tata,Tata Indigo,2016,110000,85000,Diesel
670,Renault,Renault Duster,2013,490000,38600,Diesel
671,Mahindra,Mahindra Scorpio,2009,320000,95500,Diesel
672,Maruti,Maruti Suzuki Zen,2004,68000,56000,Petrol
673,Maruti,Maruti Suzuki WagonR,2014,130000,37458,Petrol
674,Maruti,Maruti Suzuki SX4,2016,970000,85960,Diesel
675,Audi,Audi A3,2015,3100000,12516,Petrol
676,Hyundai,Hyundai Eon,2018,280000,35000,Petrol
677,Maruti,Maruti Suzuki Zen,2009,125000,0,Petrol
678,Mahindra,Mahindra Scorpio,2008,285000,80000,Diesel
679,Hyundai,Hyundai Santro,2011,165000,45000,Petrol
680,Maruti,Maruti Suzuki Swift,2009,250000,51000,Diesel
681,Mahindra,Mahindra Scorpio,2015,865000,30000,Diesel
682,Mahindra,Mahindra Xylo,2011,390000,48000,Diesel
683,Hyundai,Hyundai Santro,2003,60000,51000,Petrol
684,Chevrolet,Chevrolet Beat,2015,215000,90000,Diesel
685,Maruti,Maruti Suzuki Swift,2015,475000,43000,Diesel
686,Mahindra,Mahindra XUV500,2015,899000,53000,Diesel
687,Toyota,Toyota Fortuner,2013,1499000,97000,Diesel
688,Maruti,Maruti Suzuki Alto,2013,240000,20000,Petrol
689,Hyundai,Hyundai Getz,2007,99000,55000,Petrol
690,Maruti,Maruti Suzuki Swift,2014,260000,120000,Diesel
691,Hyundai,Hyundai Creta,2019,1200000,0,Petrol
692,Hyundai,Hyundai Santro,2007,115000,46000,Petrol
693,Hyundai,Hyundai Santro,2009,88000,43200,Petrol
694,Mahindra,Mahindra Xylo,2011,390000,56000,Diesel
695,Hyundai,Hyundai Santro,2007,135000,42000,Petrol
696,Tata,Tata Indica,2009,90000,30600,Diesel
697,Hyundai,Hyundai i10,2011,220000,38000,Petrol
698,Hyundai,Hyundai Grand i10,2017,424999,2550,Petrol
699,Hyundai,Hyundai Santro,2007,135000,47000,Petrol
700,Honda,Honda City,2005,95000,41000,Petrol
701,Nissan,Nissan Micra,2017,430000,62500,Diesel
702,Honda,Honda City,2005,115000,68000,Petrol
703,Maruti,Maruti Suzuki Alto,2015,215000,50000,Petrol
704,Maruti,Maruti Suzuki WagonR,2004,53000,69000,Petrol
705,Maruti,Maruti Suzuki Ertiga,2012,500000,48000,Diesel
706,Tata,Tata Indica,2012,85000,55000,Diesel
707,Maruti,Maruti Suzuki Omni,2013,165000,25000,Petrol
708,Hyundai,Hyundai Eon,2014,200000,28400,Petrol
709,Hyundai,Hyundai Eon,2014,200000,28000,Petrol
710,Maruti,Maruti Suzuki Swift,2015,425000,42000,Diesel
711,Hyundai,Hyundai Verna,2012,600000,29000,Diesel
712,Chevrolet,Chevrolet Tavera,2005,130000,68485,Diesel
713,Tata,Tata Tiago,2018,430000,3500,Petrol
714,Tata,Tata Tiago,2019,568500,0,Petrol
715,Maruti,Maruti Suzuki Zen,2006,71000,32000,Petrol
716,Mahindra,Mahindra KUV100,2018,560000,8000,Diesel
717,Ford,Ford EcoSport,2014,590000,34000,Diesel
718,Hindustan,Hindustan Motors Ambassador,1995,750000,37000,Petrol
719,Ford,Ford Fusion,2007,125000,85455,Diesel
720,Hyundai,Hyundai Santro,2007,135000,46000,Petrol
721,Hyundai,Hyundai Santro,2002,60000,47000,Petrol
722,Fiat,Fiat Linea,2009,120000,64000,Petrol
723,Ford,Ford Ikon,2008,95000,46000,Petrol
724,Maruti,Maruti Suzuki Omni,2017,240000,8000,Petrol
725,Tata,Tata Indica,2012,115000,64000,Diesel
726,Mahindra,Mahindra Scorpio,2015,795000,63000,Diesel
727,Hyundai,Hyundai Santro,2007,55000,65000,Petrol
728,Mahindra,Mahindra Xylo,2009,300000,62000,Diesel
729,Hyundai,Hyundai Grand i10,2014,320000,41000,Petrol
730,Maruti,Maruti Suzuki Alto,2015,265000,14000,Petrol
731,Toyota,Toyota Corolla,2006,160000,40000,Petrol
732,Hyundai,Hyundai Eon,2017,300000,1600,Petrol
733,Tata,Tata Sumo,2010,130000,90000,Diesel
734,Maruti,Maruti Suzuki Swift,2011,250000,58000,Diesel
735,Volkswagen,Volkswagen Polo,2013,380000,27000,Petrol
736,Maruti,Maruti Suzuki Alto,2003,42000,60000,Petrol
737,Tata,Tata Tiago,2017,400000,31000,Petrol
738,Maruti,Maruti Suzuki Swift,2009,120000,90000,Diesel
739,Maruti,Maruti Suzuki Swift,2009,120000,90000,Diesel
740,Tata,Tata Indigo,2016,130000,150000,Diesel
741,Chevrolet,Chevrolet Beat,2014,189000,31000,Diesel
742,Mahindra,Mahindra Xylo,2011,365000,43000,Diesel
743,Hyundai,Hyundai Eon,2013,170000,20000,Petrol
744,Tata,Tata Sumo,2013,215000,100000,Petrol
745,Tata,Tata Nano,2013,60000,7000,Petrol
746,Hyundai,Hyundai i20,2017,599999,31000,Petrol
747,Hyundai,Hyundai i10,2009,400000,33000,Petrol
748,Hyundai,Hyundai Creta,2016,900000,60000,Diesel
749,Volkswagen,Volkswagen Polo,2013,299999,48000,Diesel
750,Maruti,Maruti Suzuki Dzire,2014,374999,33000,Petrol
751,Tata,Tata Bolt,2015,600000,15000,Petrol
752,Maruti,Maruti Suzuki Alto,2005,70000,47000,Petrol
753,Maruti,Maruti Suzuki Alto,2005,100000,40000,Petrol
754,Maruti,Maruti Suzuki Ritz,2010,150000,38000,Diesel
755,Maruti,Maruti Suzuki Alto,2017,225000,12500,Petrol
756,Maruti,Maruti Suzuki Dzire,2009,210000,42000,Petrol
757,Hyundai,Hyundai i20,2014,425000,31000,Petrol
758,Maruti,Maruti Suzuki Swift,2008,162000,60000,Diesel
759,Tata,Tata Indica,2005,60000,80000,Diesel
760,Mahindra,Mahindra Scorpio,2014,650000,77000,Diesel
761,Toyota,Toyota Innova,2012,750000,75000,Diesel
762,Mahindra,Mahindra Xylo,2010,375000,40000,Diesel
763,Hyundai,Hyundai i20,2011,230000,47000,Petrol
764,Maruti,Maruti Suzuki Omni,2000,35999,60000,Petrol
765,Mahindra,Mahindra KUV100,2016,380000,26500,Petrol
766,Mahindra,Mahindra KUV100,2019,560000,2875,Petrol
767,Datsun,Datsun GO,2016,285000,13900,Petrol
768,Ford,Ford Endeavor,2019,2900000,9000,Diesel
769,Tata,Tata Indica,2005,39999,80000,Diesel
770,Hyundai,Hyundai Santro,2006,85000,60000,Petrol
771,Maruti,Maruti Suzuki WagonR,2016,395000,20000,Petrol
772,Maruti,Maruti Suzuki Swift,2008,175000,58000,Diesel
773,Maruti,Maruti Suzuki Alto,2019,400000,1500,Petrol
774,Toyota,Toyota Innova,2011,750000,75000,Diesel
775,Maruti,Maruti Suzuki Alto,2016,250000,2450,Petrol
776,Maruti,Maruti Suzuki Alto,2019,425000,1625,Petrol
777,Volkswagen,Volkswagen Polo,2017,525000,45000,Petrol
778,Mahindra,Mahindra Logan,2009,130000,65000,Diesel
779,Mahindra,Mahindra Scorpio,2011,475000,60123,Diesel
780,Chevrolet,Chevrolet Sail,2013,300000,28000,Petrol
781,Hyundai,Hyundai Santro,2003,60000,70000,Petrol
782,Maruti,Maruti Suzuki WagonR,2006,100000,7000,Petrol
783,Hyundai,Hyundai Eon,2018,260000,25000,Petrol
784,Tata,Tata Manza,2015,100000,100000,Diesel
785,Toyota,Toyota Etios,2013,265000,42000,Petrol
786,Hyundai,Hyundai Getz,2009,115000,20000,Petrol
787,Toyota,Toyota Qualis,2003,180000,100000,Diesel
788,Hyundai,Hyundai Santro,2004,45000,137495,Petrol
789,Tata,Tata Indica,2016,50500,91200,Diesel
790,Honda,Honda City,2009,270000,55000,Petrol
791,Tata,Tata Zest,2017,290000,120000,Diesel
792,Mahindra,Mahindra Quanto,2013,325000,63000,Diesel
793,Tata,Tata Indigo,2016,160000,104000,Diesel
794,Maruti,Maruti Suzuki Swift,2016,350000,146000,Diesel
795,Hyundai,Hyundai i20,2011,290000,40000,Petrol
796,Hyundai,Hyundai i20,2011,290000,40000,Petrol
797,Chevrolet,Chevrolet Tavera,2007,465000,100800,Diesel
798,Maruti,Maruti Suzuki Dzire,2016,325000,150000,Diesel
799,Hyundai,Hyundai i20,2018,510000,2100,Petrol
800,Honda,Honda City,2016,860000,95000,Petrol
801,Maruti,Maruti Suzuki Dzire,2016,450000,2500,Diesel
802,Hyundai,Hyundai Getz,2006,125000,80000,Petrol
803,Mercedes,Mercedes Benz C-Class,2006,500001,15000,Petrol
804,Maruti,Maruti Suzuki Alto,2005,95000,65000,Petrol
805,Maruti,Maruti Suzuki Swift,2009,250000,51000,Diesel
806,Skoda,Skoda Fabia,2009,110000,45000,Petrol
807,Maruti,Maruti Suzuki Ritz,2011,270000,50000,Petrol
808,Tata,Tata Indica,2009,110000,30000,Diesel
809,Toyota,Toyota Corolla,2009,300000,132000,Petrol
810,Tata,Tata Zest,2018,260000,27000,Diesel
811,Mahindra,Mahindra Quanto,2013,390000,40000,Diesel
