company,name,year,Price,kms_driven,fuel_type
Tata,Tata Indigo,2016,"2,30,000","1,04,000 kms",Diesel
Tata,Tata Indigo,2016,"2,30,000","1,04,000 kms",Diesel
Tata,Tata Indigo,2004,"1,80,000","70,000 kms",Diesel
Commercial,Chevrolet Sail,o...,"2,25,000",,
Hyundai,Hyundai Xcent,2015,"4,00,000","43,000 kms",Diesel
Hyundai,Hyundai Eon,2013,"1,85,000","23,000 kms",Petrol
Renault,Renault Duster,2015,"3,85,000","51,000 kms",Diesel
Maruti,Maruti Suzuki Alto K10 LXi CNG,2009,"90,000","62,000 kms",Petrol
Tata,Tata Nano,2010,"32,000","48,008 kms",Petrol
Commercial,Commercial Car Ta,Zest,"3,71,500",,
Renault,Renault Duster,2013,"4,35,000","39,000 kms",Diesel
Maruti,Maruti Suzuki WagonR AX BSIV,2010,"2,25,000","40,000 kms",Petrol
Maruti,Maruti Suzuki Swift,2006,"1,89,700","48,247 kms",Petrol
Maruti,Maruti Suzuki Ertiga,2012,"3,89,700","39,000 kms",Diesel
Maruti,Maruti Suzuki Swift VXi 1.2 ABS BS IV,2014,"3,65,000","23,000 kms",Petrol
Maruti,Maruti Suzuki Alto K10 New,2017,"3,60,000","9,400 kms",Petrol
Hyundai,Hyundai i20,2010,"2,10,000","50,000 kms",Petrol
Hyundai,Hyundai i10,2009,"1,70,000","75,000 kms",Petrol
tata,tata Indica,sale,"1,30,000",,
Tata,Tata Zest,2017,"3,80,000","70,000 kms",Diesel
Mahindra,Mahindra Xylo,2009,"2,95,000","64,000 kms",Diesel
Toyota,Toyota Corolla,2010,"1,85,000","55,000 kms",Petrol
Tata,Tata Manza,2014,"1,60,000","2,00,000 kms",Diesel
Mahindra,Mahindra KUV100,2018,Ask For Price,"7,500 kms",Diesel
Used,Used bt new conditions ta,Zest,"2,55,000",,
Renault,Renault Kwid,2018,"2,90,000","2,137 kms",Petrol
Sale,Sale tata,ture,"1,00,000",,
Tata,Tata Venture,2013,"1,00,000","30,000 kms",Diesel
Maruti,Maruti Suzuki Swift Dzire Tour LXi,2014,"3,15,000","44,000 kms",Petrol
Maruti,Maruti Suzuki Alto LX BSII,2002,Ask For Price,"56,000 kms",Petrol
Skoda,Skoda Octavia,2006,"1,14,990","65,000 kms",Diesel
Maruti,Maruti Suzuki Omni CNG BS IV,2012,"1,20,000","1,60,000 kms",CNG
Chevrolet,Chevrolet Beat,2011,"1,25,000","56,000 kms",Diesel
Tata,Tata Sumo,2012,"2,10,000","75,000 kms",Diesel
Tata,Tata indigo,emi,"1,70,000",,
Hyundai,Hyundai Verna,2018,"8,55,000","42,000 kms",Diesel
Tata,Tata Sumo,2012,"2,10,000","75,000 kms",Diesel
Mahindra,Mahindra Scorpio,2007,"2,60,000","56,000 kms",Diesel
Maruti,Maruti Suzuki Zen LXi BS III,2002,"95,000","10,544 kms",Petrol
Maruti,Maruti Suzuki Swift Dzire VXi 1.2 BS IV,2011,"2,55,000","64,000 kms",Petrol
Mahindra,Mahindra Scorpio,2008,"3,00,000","70,000 kms",Diesel
Hyundai,Hyundai Grand i10 Sportz 1.2 Kappa VTVT,2014,"3,40,000","25,000 kms",Petrol
Hyundai,Hyundai i20,2017,"5,50,000","15,000 kms",Petrol
Ford,Ford Ikon,2003,"60,000","50,000 kms",Petrol
Hyundai,Hyundai i20,2015,Ask For Price,"49,500 kms",Petrol
Tata,Tata indigo,car,"1,50,000",,
Toyota,Toyota Innova,2011,"7,50,000","1,47,000 kms",Diesel
Nissan,Nissan Sunny,2011,"2,30,000","52,000 kms",Petrol
Chevrolet,Chevrolet Beat,2012,"1,30,000","90,001 kms",Diesel
Maruti,Maruti Suzuki Alto 800 Lxi,2017,"2,70,000","21,000 kms",Petrol
Maruti,Maruti Suzuki Swift VDi BS IV,2012,"2,80,000","48,006 kms",Diesel
Maruti,Maruti Suzuki Swift VDi BS IV,2012,"2,80,000","48,006 kms",Diesel
Maruti,Maruti Suzuki Swift,2012,"2,80,000","48,006 kms",Diesel
very,very good condition tata bolts are av,able,"2,00,000",,
Toyota,Toyota Innova,2012,"6,00,000","80,000 kms",Diesel
Sale,Sale Hyundai xcent commerc,no.,Ask For Price,,
Maruti,Maruti Suzuki Swift VDi ABS,2010,"1,90,000","74,000 kms",Diesel
Hyundai,Hyundai i20,2015,"5,00,000","22,000 kms",Petrol
Mahindra,Mahindra XUV500,2016,"10,65,000","41,000 kms",Diesel
Volkswagen,Volkswagen Polo,2015,"3,50,000","25,000 kms",Diesel
Toyota,Toyota Etios,2012,"3,50,000","85,000 kms",Diesel
Mahindra,Mahindra TUV300,2016,"5,40,000","29,500 kms",Diesel
Hyundai,Hyundai i20,2015,"4,70,000","30,000 kms",Petrol
Hyundai,Hyundai Santro,2014,"1,79,000","57,000 kms",Petrol
Maruti,Maruti Suzuki Zen LXi BS III,2003,"48,000","60,000 kms",Petrol
Maruti,Maruti Suzuki Ciaz ZXi Plus RS,2016,"6,50,000","50,000 kms",Petrol
Hyundai,Hyundai Eon,2013,"1,90,000","39,700 kms",Petrol
Hyundai,Hyundai Elantra,2012,"5,00,000","65,000 kms",Petrol
Maruti,Maruti Suzuki Swift VDi,2010,"2,70,000","67,000 kms",Diesel
Maruti,Maruti Suzuki Zen Estilo LXI Green CNG,2008,"1,25,000","46,000 kms",Petrol
Hyundai,Hyundai Eon,2012,"1,88,000","38,000 kms",Petrol
Hyundai,Hyundai Grand i10 Magna 1.2 Kappa VTVT,2016,"3,80,000","27,000 kms",Petrol
Hyundai,Hyundai Verna,2011,"3,65,000","43,000 kms",Diesel
Ford,Ford EcoSport,2014,"4,65,000","47,000 kms",Petrol
Hyundai,Hyundai i20,2011,"2,40,000","42,000 kms",Petrol
Chevrolet,Chevrolet Beat,2016,"1,79,999","19,336 kms",Diesel
Tata,Tata Indica,2015,"1,40,000","60,105 kms",Diesel
Jaguar,Jaguar XF,2013,"23,90,000","29,000 kms",Diesel
Audi,Audi Q5,2014,"23,90,000","34,000 kms",Diesel
BMW,BMW 3 Series 320d Sedan,2011,"14,75,000","35,000 kms",Diesel
Maruti,Maruti Suzuki Swift ZXi 1.2 BS IV,2015,"4,75,000","22,000 kms",Petrol
BMW,BMW X1,2012,"10,25,000","41,000 kms",Diesel
Maruti,Maruti Suzuki SX4 Cross Sigma 1.3,2016,"6,15,000","21,000 kms",Diesel
Maruti,Maruti Suzuki Ertiga LDi,2013,"4,75,000","48,000 kms",Diesel
Maruti,Maruti Suzuki Alto K10 VXi AMT,2016,"2,70,000","38,000 kms",Petrol
Honda,Honda City,2014,"4,75,000","34,000 kms",Diesel
Volkswagen,Volkswagen Vento,2011,"2,40,000","45,933 kms",Petrol
Honda,Honda City,2005,"1,20,000","68,000 kms",Petrol
Audi,Audi A4,2016,"19,00,000","44,000 kms",Diesel
Mahindra,Mahindra KUV100,2017,"3,60,000","35,000 kms",Diesel
Tata,Tata Zest,2018,"4,50,000","1,02,563 kms",Diesel
Mahindra,Mahindra XUV500,2015,"9,00,000","28,600 kms",Diesel
Maruti,Maruti Suzuki Swift Dzire Tour VDi,2017,"6,50,000","41,800 kms",Diesel
Tata,Tata Sumo,2014,"2,75,000","1,16,000 kms",Diesel
Maruti,Maruti Suzuki Swift Dzire VXi 1.2 BS IV,2009,"2,10,000","59,000 kms",Petrol
Mahindra,Mahindra Scorpio,2004,"1,75,000","58,000 kms",Diesel
Maruti,Maruti Suzuki Omni 8 STR BS III,2009,"85,000","45,000 kms",Petrol
Mitsubishi,Mitsubishi Pajero,2015,"14,90,000","42,590 kms",Diesel
Renault,Renault Duster,2014,"8,00,000","7,400 kms",Diesel
Volkswagen,Volkswagen Jetta,2009,"4,50,000","54,500 kms",Diesel
Maruti,Maruti Suzuki Ertiga Vxi,2012,"10,00,000","2,00,000 kms",Diesel
Audi,Audi A4,2013,"19,10,000","27,000 kms",Diesel
Volvo,Volvo S80,2015,"18,50,000","42,000 kms",Diesel
Toyota,Toyota Corolla,2014,"7,90,000","29,000 kms",Petrol
Mitsubishi,Mitsubishi Pajero,2015,"17,25,000","37,000 kms",Diesel
Chevrolet,Chevrolet Beat,2012,"1,35,000","36,000 kms",Petrol
BMW,BMW X1,2011,"11,00,000","34,000 kms",Diesel
Datsun,Datsun Redi GO S,2018,"2,99,999","7,000 kms",Petrol
Mercedes,Mercedes Benz C-Class C 220 CDI Avantgarde,2009,"12,25,000","76,000 kms",Diesel
Mahindra,Mahindra Scorpio,2004,"1,75,000","60,000 kms",Diesel
Volkswagen,Volkswagen Vento,2011,"2,00,000","95,000 kms",Diesel
Tata,Tata Indigo,2017,"2,70,000","50,000 kms",Diesel
Ford,Ford Figo,2019,"5,25,000",00 kms,Petrol
Honda,Honda City,2006,"1,80,000","50,000 kms",Petrol
Maruti,Maruti Suzuki WagonR Duo Lxi,2008,"1,40,000","68,000 kms",Petrol
Ford,Ford EcoSport,2014,"4,00,000","16,000 kms",Petrol
Maruti,Maruti Suzuki Swift Dzire VDi,2016,"4,99,000","51,000 kms",Diesel
Maruti,Maruti Suzuki Omni 8 STR BS III,2009,"85,000","56,000 kms",Petrol
Maruti,Maruti Suzuki Zen LX BSII,2004,"70,000","1,00,000 kms",Petrol
Renault,Renault Duster,2015,"5,50,000","36,000 kms",Petrol
Maruti,Maruti Suzuki Swift VXi 1.2 BS IV,2014,"3,70,000","11,523 kms",Petrol
Maruti,Maruti Suzuki Baleno Zeta 1.2,2018,"6,90,000","1,000 kms",Petrol
Honda,Honda City,2009,"2,50,000","60,000 kms",Petrol
Tata,Tata Indigo,2016,"1,10,000","85,000 kms",Diesel
Renault,Renault Duster,2013,"4,90,000","38,600 kms",Diesel
Mahindra,Mahindra Scorpio,2009,"3,20,000","95,500 kms",Diesel
Maruti,Maruti Suzuki Zen LXi BS III,2004,"68,000","56,000 kms",Petrol
Maruti,Maruti Suzuki WagonR LXi BS III,2014,"1,30,000","37,458 kms",Petrol
Maruti,Maruti Suzuki SX4 Celebration Diesel,2016,"9,70,000","85,960 kms",Diesel
Audi,Audi A3,2015,"31,00,000","12,516 kms",Petrol
Hyundai,Hyundai Eon,2018,"2,80,000","35,000 kms",Petrol
Maruti,Maruti Suzuki Zen Estilo LXI Green CNG,2009,"1,25,000",00 kms,Petrol
Mahindra,Mahindra Scorpio,2008,"2,85,000","80,000 kms",Diesel
I,I want to sell my commercial car due t,o...,"4,75,000",,
Hyundai,Hyundai Santro,2011,"1,65,000","45,000 kms",Petrol
i,i want sale my car.no emi....uber atta,d...,"3,20,000",,
Maruti,Maruti Suzuki Swift Dzire Tour VDi,2009,"2,50,000","51,000 kms",Diesel
Mahindra,Mahindra Scorpio,2015,"8,65,000","30,000 kms",Diesel
Tata,Tata Zest,car,"3,70,000",,
Mahindra,Mahindra Xylo,2011,"3,90,000","48,000 kms",Diesel
Hyundai,Hyundai Santro,2003,"60,000","51,000 kms",Petrol
Chevrolet,Chevrolet Beat,2015,"2,15,000","90,000 kms",Diesel
Maruti,Maruti Suzuki Swift Dzire VDi,2015,"4,75,000","43,000 kms",Diesel
Mahindra,Mahindra XUV500,2015,"8,99,000","53,000 kms",Diesel
Toyota,Toyota Fortuner,2013,"14,99,000","97,000 kms",Diesel
Maruti,Maruti Suzuki Alto K10 VXi,2013,"2,40,000","20,000 kms",Petrol
Hyundai,Hyundai Getz,2007,"99,000","55,000 kms",Petrol
Maruti,Maruti Suzuki Swift Dzire Tour LDi,2014,"2,60,000","1,20,000 kms",Diesel
Hyundai,Hyundai Creta,2019,"12,00,000",0 kms,Petrol
Hyundai,Hyundai Santro,2007,"1,15,000","46,000 kms",Petrol
Hyundai,Hyundai Santro,2009,"88,000","43,200 kms",Petrol
Mahindra,Mahindra Xylo,2011,"3,90,000","56,000 kms",Diesel
Hyundai,Hyundai Santro,2007,"1,35,000","42,000 kms",Petrol
Tata,Tata Indica,2009,"90,000","30,600 kms",Diesel
Hyundai,Hyundai i10,2011,"2,20,000","38,000 kms",Petrol
Hyundai,Hyundai Grand i10 Magna 1.2 Kappa VTVT,2017,"4,24,999","2,550 kms",Petrol
Hyundai,Hyundai Santro,2007,"1,35,000","47,000 kms",Petrol
Honda,Honda City,2005,"95,000","41,000 kms",Petrol
Nissan,Nissan Micra,2017,"4,30,000","62,500 kms",Diesel
Honda,Honda City,2005,"1,15,000","68,000 kms",Petrol
Maruti,Maruti Suzuki Alto 800 Lxi,2015,"2,15,000","50,000 kms",Petrol
Maruti,Maruti Suzuki WagonR LX BS III,2004,"53,000","69,000 kms",Petrol
Maruti,Maruti Suzuki Ertiga VDi,2012,"5,00,000","48,000 kms",Diesel
Tata,Tata Indica,2012,"85,000","55,000 kms",Diesel
Maruti,Maruti Suzuki Omni E 8 STR BS IV,2013,"1,65,000","25,000 kms",Petrol
Hyundai,Hyundai Eon,2014,"2,00,000","28,400 kms",Petrol
Hyundai,Hyundai Eon,2014,"2,00,000","28,000 kms",Petrol
Maruti,Maruti Suzuki Swift LDi,2015,"4,25,000","42,000 kms",Diesel
MARUTI,MARUTI SUZUKI ERTIGA F,SALE,"6,50,000",,
Hyundai,Hyundai Verna,2012,"6,00,000","29,000 kms",Diesel
Chevrolet,Chevrolet Tavera,2005,"1,30,000","68,485 kms",Diesel
Tata,Tata Tiago,2018,"4,30,000","3,500 kms",Petrol
Tata,Tata Tiago,2019,"5,68,500",0 kms,Petrol
Tata,Tata Nexon,2019,Ask For Price,0 kms,Petrol
Tata,Tata,digo,Ask For Price,,
Maruti,Maruti Suzuki Zen LXi BS III,2006,"71,000","32,000 kms",Petrol
Mahindra,Mahindra KUV100,2018,"5,60,000","8,000 kms",Diesel
Ford,Ford EcoSport,2014,"5,90,000","34,000 kms",Diesel
Hindustan,Hindustan Motors Ambassador Classic Mark 4 ���������,1995,"7,50,000","37,000 kms",Petrol
Ford,Ford Fusion,2007,"1,25,000","85,455 kms",Diesel
Hyundai,Hyundai Santro,2007,"1,35,000","46,000 kms",Petrol
Hyundai,Hyundai Santro,2002,"60,000","47,000 kms",Petrol
Fiat,Fiat Linea,2009,"1,20,000","64,000 kms",Petrol
Ford,Ford Ikon,2008,"95,000","46,000 kms",Petrol
Maruti,Maruti Suzuki Omni E 8 STR BS IV,2017,"2,40,000","8,000 kms",Petrol
Tata,Tata Indica,2012,"1,15,000","64,000 kms",Diesel
Mahindra,Mahindra Scorpio,2015,"7,95,000","63,000 kms",Diesel
Hyundai,Hyundai Santro,2007,"55,000","65,000 kms",Petrol
Mahindra,Mahindra Xylo,2009,"3,00,000","62,000 kms",Diesel
Hyundai,Hyundai Grand i10 Asta 1.2 Kappa VTVT,2014,"3,20,000","41,000 kms",Petrol
Maruti,Maruti Suzuki Alto 800 Lxi,2015,"2,65,000","14,000 kms",Petrol
Toyota,Toyota Corolla,2006,"1,60,000","40,000 kms",Petrol
Hyundai,Hyundai Eon,2017,"3,00,000","1,600 kms",Petrol
Tata,Tata Sumo,2010,"1,30,000","90,000 kms",Diesel
Maruti,Maruti Suzuki Swift VDi,2011,"2,50,000","58,000 kms",Diesel
Volkswagen,Volkswagen Polo,2013,"3,80,000","27,000 kms",Petrol
Maruti,Maruti Suzuki Alto 800 Lx,2003,"42,000","60,000 kms",Petrol
Tata,Tata Tiago,2017,"4,00,000","31,000 kms",Petrol
Maruti,Maruti Suzuki Swift LDi,2009,"1,20,000","90,000 kms",Diesel
Maruti,Maruti Suzuki Swift VDi,2009,"1,20,000","90,000 kms",Diesel
Tata,Tata Indigo,2016,"1,30,000","1,50,000 kms",Diesel
Chevrolet,Chevrolet Beat,2014,"1,89,000","31,000 kms",Diesel
2012,2012 Tata Sumo Gold f,sell,"2,50,000",,
Mahindra,Mahindra Xylo,2011,"3,65,000","43,000 kms",Diesel
Hyundai,Hyundai Eon,2013,"1,70,000","20,000 kms",Petrol
Well,Well mentained Tata Sumo,d Ex,"3,80,000",,
all,all paper updated tata indica v2 and u,n...,"1,45,000",,
Maruti,Maruti Ertiga showroom condition with,e...,"4,80,000",,
7,7 SEATER MAHINDRA BOLERO IN VERY GOOD,D...,Ask For Price,,
9,9 SEATER MAHINDRA BOL,", Ac",Ask For Price,,
scratch,scratch less Tata I,go .,"1,40,000",,
Maruti,Maruti Suzuki swift dzire for sale in,d...,"3,60,000",,
Commercial,Chevrolet beat,k...,"1,80,000",,
urgent,urgent sell my Mahindra qu,o c4,"3,50,000",,
Tata,Tata Sumo,2013,"2,15,000","1,00,000 kms",Petrol
sell,sell my car Maruti Suzuki Swif,zire,"3,00,000",,
Maruti,Maruti Suzuki Swift Dzire good car fo,o...,"3,10,000",,
Hyundai,Hyunda,cent,Ask For Price,,
Commercial,Commercial Maruti Suzuki Alto Lxi 800,...,Ask For Price,,
urgent,urgent sale Ta,Sumo,"2,20,000",,
Maruti,Maruti Suzuki Alto vxi t,cab,"95,000",,
tata,tata,t xe,Ask For Price,,
TATA,TATA INDI,EV2,"1,10,000",,
Tata,Tata Nano,2013,"60,000","7,000 kms",Petrol
Hyundai,Hyundai i20,2017,"5,99,999","31,000 kms",Petrol
Hyundai,Hyundai i10,2009,"4,00,000","33,000 kms",Petrol
Hyundai,Hyundai Creta,2016,"9,00,000","60,000 kms",Diesel
Volkswagen,Volkswagen Polo,2013,"2,99,999","48,000 kms",Diesel
Maruti,Maruti Suzuki Dzire,2014,"3,74,999","33,000 kms",Petrol
Tata,Tata Bolt,2015,"6,00,000","15,000 kms",Petrol
Maruti,Maruti Suzuki Alto 800 Lx,2005,"70,000","47,000 kms",Petrol
Maruti,Maruti Suzuki Alto,2005,"1,00,000","40,000 kms",Petrol
Hyundai,Hyundai Venue,2019,Ask For Price,"7,000 kms",Diesel
Maruti,Maruti Suzuki Ritz,2010,"1,50,000","38,000 kms",Diesel
Maruti,Maruti Suzuki Alto 800 Lxi,2017,"2,25,000","12,500 kms",Petrol
Maruti,Maruti Suzuki Dzire,2009,"2,10,000","42,000 kms",Petrol
Renault,Renault Lodgy,2016,Ask For Price,"20,000 kms",Diesel
Hyundai,Hyundai i20,2014,"4,25,000","31,000 kms",Petrol
Maruti,Maruti Suzuki Swift Select Variant,2008,"1,62,000","60,000 kms",Diesel
Tata,Tata Indica,2005,"60,000","80,000 kms",Diesel
Mahindra,Mahindra Scorpio,2014,"6,50,000","77,000 kms",Diesel
Toyota,Toyota Innova,2012,"7,50,000","75,000 kms",Diesel
Mahindra,Mahindra Xylo,2010,"3,75,000","40,000 kms",Diesel
Hyundai,Hyundai i20,2011,"2,30,000","47,000 kms",Petrol
Maruti,Maruti Suzuki Omni,2000,"35,999","60,000 kms",Petrol
Mahindra,Mahindra KUV100,2016,"3,80,000","26,500 kms",Petrol
Mahindra,Mahindra KUV100,2019,"5,60,000","2,875 kms",Petrol
Datsun,Datsun GO,2016,"2,85,000","13,900 kms",Petrol
Ford,Ford Endeavor,2019,"29,00,000","9,000 kms",Diesel
Tata,Tata Indica,2005,"39,999","80,000 kms",Diesel
Hyundai,Hyundai Santro,2006,"85,000","60,000 kms",Petrol
Maruti,Maruti Suzuki WagonR 1.0 VXi,2016,"3,95,000","20,000 kms",Petrol
Maruti,Maruti Suzuki Swift Select Variant,2008,"1,75,000","58,000 kms",Diesel
Maruti,Maruti Suzuki Alto 800 Lx,2019,"4,00,000","1,500 kms",Petrol
Toyota,Toyota Innova,2011,"7,50,000","75,000 kms",Diesel
Any,Any type car avaiabel hare...comercica,r...,"1,70,000",,
Maruti,Maruti Suzuki Alto 800,2016,"2,50,000","2,450 kms",Petrol
Maruti,Maruti Suzuki Alto AX,2019,"4,25,000","1,625 kms",Petrol
Maruti,Maruti Suzuki Alto 800 Lx,2019,Ask For Price,"1,500 kms",Petrol
Volkswagen,Volkswagen Polo,2017,"5,25,000","45,000 kms",Petrol
Mahindra,Mahindra Logan,2009,"1,30,000","65,000 kms",Diesel
Mahindra,Mahindra Scorpio,2011,"4,75,000","60,123 kms",Diesel
Chevrolet,Chevrolet Sail,2013,"3,00,000","28,000 kms",Petrol
Volkswagen,Volkswagen Vento,2015,Ask For Price,"38,900 kms",Diesel
Hyundai,Hyundai Santro,2003,"60,000","70,000 kms",Petrol
Maruti,Maruti Suzuki WagonR VXi Minor,2006,"1,00,000","7,000 kms",Petrol
Hyundai,Hyundai Eon,2018,"2,60,000","25,000 kms",Petrol
Tata,Tata Manza,2015,"1,00,000","1,00,000 kms",Diesel
Toyota,Toyota Innova,2019,Ask For Price,"4,000 kms",Petrol
Toyota,Toyota Etios,2013,"2,65,000","42,000 kms",Petrol
Hyundai,Hyundai Getz,2009,"1,15,000","20,000 kms",Petrol
Toyota,Toyota Qualis,2003,"1,80,000","1,00,000 kms",Diesel
Hyundai,Hyundai Santro,2004,"45,000","1,37,495 kms",Petrol
Tata,Tata Indica,2016,"50,500","91,200 kms",Diesel
Honda,Honda City,2009,"2,70,000","55,000 kms",Petrol
Tata,Tata Zest,2017,"2,90,000","1,20,000 kms",Diesel
Mahindra,Mahindra Quanto,2013,"3,25,000","63,000 kms",Diesel
Tata,Tata Indigo,2016,"1,60,000","1,04,000 kms",Diesel
Maruti,Maruti Suzuki Swift Dzire,2016,"3,50,000","1,46,000 kms",Diesel
Hyundai,Hyundai i20,2011,"2,90,000","40,000 kms",Petrol
Hyundai,Hyundai i20,2011,"2,90,000","40,000 kms",Petrol
Chevrolet,Chevrolet Tavera,2007,"4,65,000","1,00,800 kms",Diesel
Maruti,Maruti Suzuki Dzire,2016,"3,25,000","1,50,000 kms",Diesel
Hyundai,Hyundai i20,2018,"5,10,000","2,100 kms",Petrol
Honda,Honda City,2016,"8,60,000","95,000 kms",Petrol
Maruti,Maruti Suzuki Dzire,2016,"4,50,000","2,500 kms",Diesel
Hyundai,Hyundai Getz,2006,"1,25,000","80,000 kms",Petrol
Mercedes,Mercedes Benz C-Class 200 K MT,2006,"5,00,001","15,000 kms",Petrol
Maruti,Maruti Suzuki Alto LXi BS III,2005,"95,000","65,000 kms",Petrol
Maruti,Maruti Suzuki Swift Dzire Tour VDi,2009,"2,50,000","51,000 kms",Diesel
Skoda,Skoda Fabia,2009,"1,10,000","45,000 kms",Petrol
Maruti,Maruti Suzuki Alto 800 Select Variant,2015,Ask For Price,"70,000 kms",Petrol
Maruti,Maruti Suzuki Ritz VXI ABS,2011,"2,70,000","50,000 kms",Petrol
tata,tata zest 2017 f,sale,"4,50,000",,
Tata,Tata Indica,2009,"1,10,000","30,000 kms",Diesel
Toyota,Toyota Corolla,2009,"3,00,000","1,32,000 kms",Petrol
Tara,Ta,zest,"3,10,000",,
Tata,Tata Zest,2018,"2,60,000","27,000 kms",Diesel
Mahindra,Mahindra Quanto,2013,"3,90,000","40,000 kms",Diesel
Honda,Honda Amaze,2014,"1,80,000",Petrol,
Chevrolet,Chevrolet Sail,2014,"1,60,000",Petrol,
